constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals;oc_lat;oc_lng;oc_formatted
1983;Ommel Kirke ;Th. Frobenius & Sønner;> Alan Havsteen-Mikkelsen.;8;1;Pedal;54.8648599;10.4890736;Ommel Kirke, Kirkevejen, 5960 Marstal, Denmark
1989;Osted Kirke ;Th. Frobenius & Sønner;;12;2;Pedal;55.5670935;11.9663893;Osted Kirke, Byvejen, 4320 Lejre, Denmark
1965;Oue Kirke ;Jydsk Orgelbyggeri;;5;1;Pedal;56.6943906;9.9720754;Oue Kirke, Kirkesvinget, Oue, Denmark
1976;Ovsted Kirke ;Jensen & Thomsen;Antagelig orgelbyggeriet.;8;1;Pedal;55.9721709;9.8557517;Ovsted Kirke, Ousted Kirkevej, 8751 Gedved, Denmark
1872;Pederstrup Kirke ;J.A. Demant;;3;1;(Intet Pedal);56.5462775;9.5241617;Pederstrup Kirke, Løvelbrovej, Viborg Municipality, Denmark
1946;Randerup Kirke ;Th. Frobenius & Co;Fin Ditlevsen.;5;1;Pedal;55.0915391;8.7286853;Randerup Kirke, Randerup, Tønder Municipality, Denmark
1978;Ribe, Sct. Catharinæ Kirke ;Bruno Christensen & Sønner;Hovedorgel: Johan Nicolai Scheer 1795 (omdannet 1978). Rygpositiv: H. Lønborg-Jensen 1932.;49;4;Pedal;55.3271958;8.7649884;Sct. Catharinæ kirke/kloster, Klostergade, 6760 Ribe, Denmark
1994;Rind Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted. [Iflg. medd. fra orgelbyggeriet, jfr. Orglet 1995,1].;10;2;Pedal;56.0908263;8.9583417;Rind kirke, Herning Municipality, Central Denmark Region, Denmark
1974;Ringkøbing Kirke;Th. Frobenius & Sønner;Rolf Graae.;22;2;Pedal;56.0907445;8.2445908;Ringkøbing Kirke, Kirkepladsen, 6950 Ringkøbing, Denmark
1885;Rise Kirke ;Marcussen & Søn;;17;2;Pedal;54.8540289;10.3997103;Rise Kirke, Kirkeballevej, 5970 Ærøskøbing, Denmark
1884 (?);Ristinge Kirke ;Frederik Nielsen;;4;1;(Intet Pedal);54.8237558;10.6358911;Ristinge Kirke, Ristingevej, Langeland Municipality, Denmark
1985;Roskilde, Himmelev Kirke ;Jensen & Thomsen;Rolf Graae.;14;2;Pedal;55.6613775;12.1045075;Himmelev Kirke, Østre Kirkevej, 4000 Roskilde, Denmark
1995;Rye, Sct. Sørens Kirke ;Marcussen & Søn;Poul Brøgger. [Se noter].;17;2;Pedal;NA;NA;NA
1994;Råby Kirke ;Marcussen & Søn;Vilhelmsen, Marxen og Bech-Jensen.;9;2;Pedal;56.6056945;10.232848;Råby Kirke, Toftevejen, 8970 Havndal, Denmark
1866;Sakskøbing Kirke ;Daniel Köhne;;17;2;Pedal;54.8002326;11.6350948;Sakskøbing Kirke, Vestergade, 4990 Sakskøbing, Denmark
1983;Seem Kirke ;P. Bruhn & Søn;Sv.Aa. Aakjær. [Iflg. Danmarks Kirker].;7;1;Pedal;55.3140436;8.8287786;Seem Kirke, Seem Kirkevej, Esbjerg Municipality, Denmark
1952;Skuldelev Kirke ;Th. Frobenius & Co;Fin Ditlevsen.;7;1;Pedal;55.7848894;12.017568;Skuldelev Kirke, Kirkevej, Skuldelev, Denmark
1964;Skælskør Kirke ;Th. Frobenius & Co;Arkitekter: Hans Erik Engqvist og Karsten Rønnow. NB: Ældre facade.;18;2;Pedal;55.2540274;11.2866381;Sankt Nicolai Kirke, Gammelgade, 4230 Skælskør, Denmark
1996;Skæring Kirke ;Th. Frobenius & Sønner;Inger & Johannes Exner. [Iflg. medd. fra orgelbyggeriet 1997].;16;2;Pedal;56.2340724;10.3044256;Skæring Kirke, Skæring Hedevej, 8250 Egå, Denmark
1965;Skærup Kirke ;Th. Frobenius & Sønner;Chr. Pedersen.;7;1;Pedal;55.6494241;9.5995299;Skærup Kirke, Skærup Kirkevej, Skærup, Denmark
1942;Skørring Kirke ;A.C. Zachariasen;;4;1;(Intet Pedal);56.3635319;10.2769074;Skørring Kirke, Jomfru Gundersvej, Skørring, Denmark
1976;Skårup Kirke ;P. Bruhn & Søn;;10;2;Pedal;55.0937833;10.6870261;Skårup Kirke, Skårup Kirkebakke, 5881 Skårup, Denmark
1961;Slagelse, Sct. Mikkels Kirke ;Marcussen & Søn;Poul-Gerhard Andersen. [Iflg. Nyholm 1987].;35;3;Pedal;NA;NA;NA
1945;Solbjerg Kirke ;Marcussen & Søn;;7;1;Pedal;55.67996;12.5288495;Solbjerg Kirke, Howitzvej, 1861 Frederiksberg C, Denmark
1942;Sorø Kirke ;Marcussen & Søn;Kaare Klint i samarbejde med orgelbyggeriet. [Jensen 1994]. Billedskærere: 1628: Peter Jürgensen. 1944: Erik Pedersen.;37;3;Pedal;55.500584;11.6241896;4296 Nyrup, Denmark
1973;Sorø Kirke;Poul-Gerhard Andersen's Orgelbyggeri;;6;1;Anhangspedal;55.500584;11.6241896;4296 Nyrup, Denmark
1861;Stenmagle Kirke ;Jens Gregersen;;5;1;(Intet Pedal);55.5534531;11.6228065;Stenmagle Kirke, Sorøvej, 4296 Nyrup, Denmark
1877;Store Heddinge Kirke;Knud Olsen;;17;2;Pedal;55.312727;12.3916849;Sankt Katharina Kirke, Erikstrupvej, 4660 Store, Denmark
1976;Store Heddinge Kirke ;Th. Frobenius & Sønner;> Preben Thorsen.;20;2;Pedal;55.312727;12.3916849;Sankt Katharina Kirke, Erikstrupvej, 4660 Store, Denmark
1997;Stouby Kirke ;Bruno Christensen & Sønner;Birch & Svenning;11;2;Pedal;55.7210161;9.7859169;Stouby Kirke, Stouby Kirkevej, 7140 Stouby, Denmark
1973;Strandby Kirke ;I. Starup & Søn;;10;2;Pedal;57.4955224;10.494773;Strandby Kirke, Strandvej, 9970 Strandby, Denmark
1995;Stubbekøbing Kirke ;Th. Frobenius & Sønner;"Rolf Graae [iflg. medd. fra denne]. NB: Ældre facade genanvendt; tegnet af H.B. Storck [se noter].";27;3;Pedal;54.8901311;12.04406;Stubbekøbing Church, Grønnegade, 4850 Stubbekøbing, Denmark
1960;Sønder Alslev Kirke ;Jydsk Orgelbyggeri;;5;1;Anhangspedal;54.7623661;12.0027557;Sønder Alslev Kirke, Kirkestræde, 4872 Idestrup, Denmark
1979;Sønderholm Kirke ;Bruno Christensen & Sønner;;9;2;Pedal;57.0016056;9.7441234;Sønderholm Kirke, Nibevej, Sønderholm, Denmark
1969;Søndersø Kirke ;Th. Frobenius & Sønner;;11;2;Pedal;55.4867162;10.2471809;Søndersø Kirke, Kirkevænget, 5471 Søndersø, Denmark
1995;Sørig Kirke ;Jensen & Thomsen;Orgelbyggeriet.;15;2;Pedal;57.5663907;10.2835226;Sørig Kirke, Tuenvej, Hjørring Municipality, Denmark
1978;Teestrup Kirke ;Jensen & Thomsen;;11;2;Pedal;55.3301022;11.8842505;Teestrup Kirke, Teestrup Bygade, Teestrup, Denmark
1968;Tolstrup Kirke ;Th. Frobenius & Sønner;;6;1;Pedal;57.3026954;9.9073118;Tolstrup Kirke, Tolstrupvej, 9700 Brønderslev, Denmark
1996;Tommerup Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen.;10;2;Pedal;55.3213628;10.2132326;Tommerup Kirke, Møllebakken, 5690 Tommerup, Denmark
1972;Torup Kirke ;Frederiksborg Orgelbyggeri;;12;2;Pedal;55.9833347;11.9401484;Torup Kirke, Torupvejen, 3370 Melby, Denmark
1954;Tranebjerg Kirke ;Th. Frobenius & Co;> Marinus Andersen.;11;2;Pedal;55.834649400000004;10.5867393;Tranebjerg Kirke, Tingvej, 8305 Samsø, Denmark
1995;Tunø Kirke ;P. Bruhn & Søn;;8;1;Pedal;55.9494971;10.4438448;Tunø Kirke, Tunø Hovedgade, 8799 Tunø, Denmark
1995;Tyvelse Kirke ;P.G. Andersen & Bruhn;;11;2;Pedal;55.3828977;11.6940044;Tyvelse Kirke, Tyvelse Bygade, 4171 Glumsø, Denmark
1974;Tørring Kirke ;Th. Frobenius & Sønner;;7;1;Pedal;55.8582245;9.4827649;Tørring Kirke, Degnevej, 7160 Tørring, Denmark
1965;Tørring Kirke ;Th. Frobenius & Co;Arkitekter: Rolf Graae og Richard Aas [se noter].;7;1;Pedal;55.8582245;9.4827649;Tørring Kirke, Degnevej, 7160 Tørring, Denmark
1973;Tåstrup Nykirke ;Th. Frobenius & Sønner;;27;2;Pedal;55.6544987;12.3038616;Tåstrup Nykirke Kirkegård, Klovtofte, Taastrup, Denmark
1961;Ulstrup Kirke ;Jydsk Orgelbyggeri;1961: (Ikke oplyst). 1998: Vilhelmsen, Marxen og Bech-Jensen. [Iflg. meddelelse fra orgelbyggeriet].;11;2;Pedal;56.8353965;9.4222454;Ulstrup Kirke, Kirkevej, Hornum, Denmark
1971;Ulstrup Kirke ;Jensen & Thomsen;;6;1;Pedal;56.8353965;9.4222454;Ulstrup Kirke, Kirkevej, Hornum, Denmark
1952;Varde Kirke ;Marcussen & Søn;Rolf Graae.;33;3;Pedal;55.6202806;8.4793717;Sankt Jacobi Kirke, Kirkepladsen, 6800 Varde, Denmark
1857;Varde Kirke;Johan Andreas Ohrt;;9;1;Anhangspedal;55.6202806;8.4793717;Sankt Jacobi Kirke, Kirkepladsen, 6800 Varde, Denmark
1968;Vedslet Kirke ;Jydsk Orgelbyggeri;Edv. Thomsen. [Iflg. korrespondance i NM].;5;1;Pedal;55.9686557;10.0049644;Vedslet Kirke, Assendrup, Central Denmark Region, Denmark
1967;Veggerby Kirke ;Th. Frobenius & Sønner;Leopold Teschl.;7;1;Pedal;56.8921653;9.658907;Veggerby Kirke, Kirketerpvej, 9541 Suldrup, Denmark
1987;Vejlby Kirke ;Th. Frobenius & Sønner;Ebbe Marxen.;12;2;Pedal;56.1951459;10.2118118;Vejlby Kirke, Filosofgangen, 8240 Risskov, Denmark
1990;Vejrum Kirke ;Th. Frobenius & Sønner;;14;2;Pedal;56.4426664;9.5567569;Vejrum Kirke, Vejrumbro, Central Denmark Region, Denmark
1961;Vejrum Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal;56.4426664;9.5567569;Vejrum Kirke, Vejrumbro, Central Denmark Region, Denmark
1949;Velling Kirke ;Marcussen & Søn;;7;1;Pedal;56.0515908;8.3106546;Velling Kirke, Velling Kirkeby, Velling, Denmark
1969;Vester Nykirke ;Bruno Christensen;;5;1;Pedal;55.5109494;8.6955905;Vester Nykirke, Nykirkevej, 6740 Bramming, Denmark
1977;Vester Vedsted Kirke ;Bruno Christensen & Sønner;Rolf Graae (ældre facade).;12;2;Pedal;55.2911537;8.6742986;Vester Vedsted Kirke, Sønder Kirkevej, Vester Vedsted, Denmark
1976;Vester Åby Kirke ;Th. Frobenius & Sønner;;14;2;Pedal;55.08488;10.3822373;Vester Åby Kirke, Præstegårdsvej, Vester Åby, Denmark
1938;Vesterborg Kirke ;Th. Frobenius & Co;;7;1;Anhangspedal;54.8612754;11.2704019;Vesterborg Kirke, Rosningevej, 4953 Vesterborg, Denmark
1978;Vestervig Kirke ;Marcussen & Søn;;53;4;Pedal;56.7731612;8.31728;Vestervig Kirke, Klostergade, 7770 Vestervig, Denmark
1974;Vind Kirke ;Th. Frobenius & Sønner;Se noter.;4;1;(Intet Pedal);56.2621105;8.5452647;Vind Kirke, Råstedvej, Vind, Denmark
1995;Virring Kirke ;Bruno Christensen & Sønner;Gert Madsen.;10;2;Pedal;56.4346119;10.2464326;Virring Kirke, Kirketoften, Randers Municipality, Denmark
1949;Viskinge Kirke ;Th. Frobenius & Co;;7;1;Pedal;55.6618043;11.2700651;Viskinge Kirke, Kirkebakken, 4470 Svebølle, Denmark
1996;Voldby Kirke ;Jydsk Orgelbyggeri;Vilhelmsen, Marxen og Bech-Jensen.;8;1;Pedal;56.2365153;9.8832469;Voldby Kirke, Gammel Hammelvej, 8450 Hammel, Denmark
2001;Vonsild Kirke ;P.G. Andersen & Bruhn;> Kuno Mielby, Vejle [Se noter].;22;3;Pedal;55.4564115;9.4774114;Vonsild Kirke, Vonsild Stationsvej, 6000 Kolding, Denmark
1970;Vrinners Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal;56.2466915;10.4941954;Vrinners Kirke, Vrinners Bygade, Vrinners, Denmark
1984;Vrå Valgmenighedskirke ;Bruno Christensen & Sønner;;8;2;Pedal;57.3558129;9.9370852;Vrå Valgmenighedskirke, Vestergade, 9760 Vrå, Denmark
1996;Vær Kirke ;Marcussen & Søn;Birch & Svenning. [Iflg. medd. fra orgelbyggeriet 1997].;13;2;Pedal;55.8871451;9.9148069;Vær Kirke, Meldrupvej, Horsens, Denmark
1979;Yding Kirke ;Bruno Christensen & Sønner;;5;1;Pedal;55.9996501;9.7713856;Yding Kirke, Skovhøjvej, 8752 Østbirk, Denmark
1881;Ærøskøbing Kirke ;Marcussen & Søn;;16;2;Pedal;54.8879328;10.4122481;Ærøskøbing Kirke, Kirkestræde, 5970 Ærøskøbing, Denmark
1989;Øland Kirke ;Gunnar Fabricius Husted;Poul Brøgger.;18;2;Pedal;57.0631848;9.5735926;Oxholm Kirke, Vestre Skovvej, Østerby, Denmark
1972;Ørnhøj Kirke ;Frederiksborg Orgelbyggeri;Orgelbyggeriet ;6;1;Pedal;56.2015442;8.5592067;Ørnhøj Kirke, Hovedgaden, 6973 Ørnhøj, Denmark
1973;Ørslevkloster Kirke ;Th. Frobenius & Sønner;Leopold Teschl.;9;2;Pedal;56.597761;9.2174437;Ørslevkloster Kirke, Ørslevklostervej, 7840 Højslev, Denmark
1970;Øster Skerninge Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;11;2;Pedal;55.0683971;10.4743844;Øster Skerninge Kirke, Åkildevej, 5762 Vester, Denmark
1996;Øster Tørslev Kirke ;P.G. Andersen & Bruhn;;12;2;Pedal;56.5787904;10.1909064;Øster Tørslev Kirke, Kirkestien, Øster Tørslev, Denmark
1974;Ågerup Kirke ;Gunnar Fabricius Husted;Orgelbyggeriet.;14;2;Pedal;55.6632811;11.7632827;Ågerup Kirke, Ågerupvej, 4390 Vipperød, Denmark
1961;Aalborg, Vor Frue Kirke ;Marcussen & Søn;;48;4;Pedal;57.0463634;9.9239599;Church of Our Lady, Aalborg, Vor Frue Plads, 9000 Aalborg, Denmark
1965;Ålbæk Kirke ;Brdr. Bruhn;Rolf Graae.;13;2;Pedal;57.5937671;10.4024639;Ålbæk Kirke, Gårdbovej, 9982 Ålbæk, Denmark
1946;Ålestrup Kirke ;Th. Frobenius & Co;;11;2;Pedal;56.6926974;9.4994086;Ålestrup Kirke, Kirkevej, 9620 Aalestrup, Denmark
1974;Årby Kirke ;Th. Frobenius & Sønner;Mogens Andersen [Se noter].;14;2;Pedal;55.6478692;11.1383166;Aarby Kirke, Årbygade, Årby, Denmark
1994;Aarhus, Åbyhøj Kirke ;Marcussen & Søn;H. Lønborg-Jensen.;26;3;Pedal;56.1550938;10.1573722;Åbyhøj Kirke, Silkeborgvej, 8230 Åbyhøj, Denmark
1965;København, Vor Frelsers Kirke;Poul-Gerhard Andersen's Orgelbyggeri;;58;4;Pedal;55.6729079;12.5942519;Church of Our Saviour, Copenhagen, Dronningensgade, 1416 København K, Denmark
1995;København, Vor Frue Kirke;Marcussen & Søn;Vilhelm Wohlert.;87;5;Pedal;55.6793766;12.5727267;Church of Our Lady, Dyrkøb, 1166 Copenhagen, Denmark
1968;Køge Kirke ;Marcussen & Søn;Rolf Graae.;38;3;Pedal;55.45824;12.1830841;Sankt Nicolai Kirke, Nørregade, 4600 Køge, Denmark
1874 (?);Langøre Kirke ;J.A. Demant;;3;1;(Intet Pedal);NA;NA;NA
1975;Linnerup Kirke ;Bruno Christensen & Sønner;Orgelbyggeren. [Typeorgel, se noter].;4;1;(Intet Pedal);55.8946308;9.4959856;Linnerup Kirke, Linnerupvej, 8765 Klovborg, Denmark
1970;Lunde Kirke ;I. Starup & Søn;;7;2;Pedal;55.7615553;8.3684011;Lunde Kirke, Gammel Lundevej, 6855 Outrup, Denmark
1994;Lyng Kirke ;P. Bruhn & Søn;Inger & Johannes Exner.;15;2;Pedal;55.5296948;9.7299213;Lyng Kirke, Kystvejen, 5500 Middelfart, Denmark
1944;Lyngby Kirke ;Marcussen & Søn;;10;1;Pedal;55.773475;12.5002735;Lyngby Kirke, Lyngby Hovedgade, 2800 Kongens Lyngby, Denmark
1989;Lystrup Kirke ;Th. Frobenius & Sønner;Arkitektgruppen Regnbuen i samarbejde med orgelbyggeriet. (Se endvidere noter).;21;2;Pedal;56.2354472;10.2341364;Lystrup Kirke, Lystrup Centervej, 8520 Lystrup, Denmark
1973;Læborg Kirke ;Th. Frobenius & Sønner;;5;1;Pedal;55.5228585;9.1147128;Læborg Kirke, Læborgvej, 6600 Vejen, Denmark
1924;Løkken Kirke ;Marcussen & Søn;> Arkitekt (1993): Alan Havsteen-Mikkelsen. [Iflg. Organistbladet 1993, s. 362]. > Arkitekt og farvekonsulent (2014): Jørgen Ussing.;18;3;Pedal;57.3734826;9.7137527;Løkken Kirke, Præstevangen, 9480 Løkken, Denmark
1992;Lønborg kirke ;P. Bruhn & Søn;Vilhelmsen, Aarhus. NB: ældre facade genanvendt. [Ifølge meddelelse fra orgelbyggeriet 1993].;7;1;Pedal;55.9053445;8.4430583;Lønborg Kirke, Bakkevej, Lønborg, Denmark
1901;Maglebrænde Kirke ;Gebr. Rieger;;4;1;(Intet Pedal);54.8613991;12.0179931;Maglebrænde Kirke, Byvej, 4850 Stubbekøbing, Denmark
1994;Magleby Kirke ;Albert E. Lang;Preben Thorsen. (Se noter].;14;2;Pedal;54.9842912;12.484253;Magleby Kirke, Klintevej, 4791 Borre, Denmark
1852;Malle Kirke ;Peter Mortensen Gudme;;5;1;(Intet Pedal);56.9169016;9.2369177;Malle Kirke, Malle Kirkevej, 9670 Løgstør, Denmark
1954;Malt Kirke ;Marcussen & Søn;Orgelbyggeriet.;7;1;Pedal;55.4700038;9.0692945;Malt Kirke, Maltvej, Vejen Municipality, Denmark
1914;Maribo Domkirke ;I. Starup;;50;3;Pedal;54.7726089;11.4997528;Maribo Cathedral, Klostergade, 4930 Maribo, Denmark
1973;Marstal Kirke ;Th. Frobenius & Sønner;Arkitekter: Knud, Erik og Ebbe Lehn Petersen. ;16;2;Pedal;54.8549571;10.516954;Marstal Kirke, Kongensgade, 5960 Marstal, Denmark
1962;Middelfart Kirke ;Th. Frobenius & Co;Rolf Graae. ;29;3;Pedal;55.5066916;9.7280658;Sankt Nicolai Kirke, Algade, 5500 Middelfart, Denmark
1882;Moltrup Kirke ;Marcussen & Søn;;12;1;Pedal;55.2824353;9.4515292;Moltrup Kirke, Møllesvinget, Haderslev Municipality, Denmark
1977;Mosbjerg Kirke ;Frederiksborg Orgelbyggeri;.;6;1;Pedal;57.5009539;10.2623165;Mosbjerg Kirke, Pletvej, 9870 Sindal, Denmark
1982;Mosede Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;;21;2;Pedal;55.5777315;12.2748614;Mosede Kirke, Mosede Parkvej, 2690 Karlslunde, Denmark
1679;Møgeltønder Kirke ;Anonym Mester;;25;2;Pedal;54.9402658;8.803992;Møgeltønder Kirke, Sønderbyvej, Møgeltønder, Denmark
1989;Mørkøv Kirke ;Th. Frobenius & Sønner;;9;2;Pedal;55.6658343;11.5209984;Mørkøv Kirke, Mørkøv Kirkeby, 4440 Mørkøv, Denmark
1990;Nebsager Kirke ;Th. Frobenius & Sønner;Ebbe Marxen. [Medd. af orgelbyggeriet].;7;1;Pedal;55.7550443;9.86458;Nebsager Kirke, Nebsager Kirkevej, 8783 Hornsyld, Denmark
1893;Nustrup Kirke ;Marcussen & Søn;;13;2;Pedal;55.2744989;9.1716173;Nustrup Kirke, Kirkepladsen, Nustrup, Denmark
1973;Nyborg, Vor Frue Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;> P.-G. Andersen, i samarbejde med Marinus Andersen.;44;3;Pedal;55.3115006;10.7930092;Vor Frue Kirke, Korsbrødregade, 5800 Nyborg, Denmark
1976;Nybøl Kirke ;Marcussen & Søn;;12;2;Pedal;54.9203384;9.681296;Nybøl Kirke, Skolevænget, 6310 Broager, Denmark
1960;Nyker, Nykirke ;I. Starup & Søn;Marinus Andersen.;6;1;Pedal;55.1395809;14.7692882;Nykirke Kirkegård, Ellebyvej, Nyker, Denmark
1980;Nykøbing Falster Kirke ;Th. Frobenius & Sønner;Peter Paludan.;45;3;Pedal;54.7800608;11.8708682;Nordre Kirke, Hammerlodden, 4800 Nykøbing, Denmark
1994;Nykøbing Sjælland Kirke ;Gunnar Fabricius Husted;Rolf Graae. [Iflg. meddelelse fra orgelbyggeriet april 1994]. Farvesætning: Mogens Jørgensen. [Iflg. meddelelse fra orgelbyggeriet april 1994].;26;2;Pedal;55.9249356;11.6711341;Nykøbing Sjælland Kirke, Nørregade, 4500 Nykøbing, Denmark
1915;Nykøbing Sjælland, Psykiatrihospitalets Kirke ;I. Starup;K. Varming. [Se noter].;4;1;(Intet Pedal);NA;NA;NA
1966;Nørre Nærå Kirke ;Th. Frobenius & Co;1966: Rolf Graae. 1994: Ebbe Lehn Petersen.;16;2;Pedal;55.5732936;10.2835446;Nørre Næraa Kirke, Kirkegyden, Nordfyn Municipality, Denmark
1967;Røgen Kirke ;Jydsk Orgelbyggeri;Vinther & Roldsgaard. [Se noter].;6;1;Pedal;56.2078111;9.8085325;Røgen Kirke, Toustrupvej, 8472 Sporup, Denmark
1968;Nørre Tranders Kirke ;Frederiksborg Orgelbyggeri;;23;2;Pedal;57.0327612;9.982066;Nørre Tranders Kirke, Lemvigvej, 9220 Aalborg Øst, Denmark
1994;Odder Kirke ;Th. Frobenius & Sønner;Vilhelmsen, Marxen og Bech-Jensen. [Iflg. medd. fra orgelbyggeriet 7. marts 1995].;18;2;Pedal;55.9730022;10.1524304;Odder Kirke, Kirkesti, 8300 Odder, Denmark
1890;Odder Valgmenighedskirke ;Frederik Nielsen;(1948) N.M. Nielsen.;6;1;(Intet Pedal);55.9741065;10.1591714;Odder Valgmenighedskirke, Rørthvej, 8300 Odder, Denmark
1962;Odense, Sct. Hans Kirke ;Marcussen & Søn;Knud, Erik og Ebbe Lehn Petersen. [Iflg. medd. fra tegnestuen].;37;3;Pedal;55.3991114;10.387546;Saint Hans Church, Sankt Hans Plads, 5000 Odense C, Denmark
1965;Odense, Sct. Knuds Kirke ;Marcussen & Søn;Se noter.;57;4;Pedal;NA;NA;NA
1989;Odense, Vor Frue Kirke;P. Bruhn & Søn;;4;1;(Intet Pedal);55.3977097;10.3955092;Vor Frue Kirke, Frue Kirkestræde, 5000 Odense C, Denmark
1950;Olsker, Sct. Ols Kirke ;I. Starup & Søn;V. Hardie-Fischer.;5;1;Anhangspedal;NA;NA;NA
1971;Pedersborg Kirke ;Jensen & Thomsen;Arkitekter: Rolf Graae og Erling Jessen.;10;2;Pedal;55.451594;11.5559455;Pedersborg Kirke, Kirkevænget, 4180 Sorø, Denmark
1996;Randers, Enghøj Kirke ;Th. Frobenius & Sønner;Henning Larsen.;17;2;Pedal;56.4867935;10.0002286;Enghøj Kirke, Løven, 8920 Randers NV, Denmark
1995;Ravnkilde kirke ;Bruno Christensen & Sønner;Poul Brøgger.;10;2;Pedal;56.7549014;9.7559642;Ravnkilde Kirke, Bygaden, Ravnkilde, Denmark
1973;Ribe Domkirke ;Th. Frobenius & Sønner;"1973: Knud, Erik og Ebbe Lehn Petersen (facade-""rekonstruktion""). 1994: Ebbe Lehn Petersen. [Iflg. medd. fra orgelbyggeriet 9. marts 1995].";50;4;Pedal;55.3280665;8.7614727;Ribe Cathedral, Torvet, 6760 Ribe, Denmark
1970;Ringsted, Sct. Bendts Kirke ;Poul-Gerhard Andersen's Orgelbyggeri;Poul-Gerhard Andersen i samarbejde med Marinus Andersen [se noter].;46;3;Pedal;55.4454181;11.7870078;Sct. Bendts church, Sanct Bendts Gade, 4100 Ringsted, Denmark
1992;Rise Kirke ;Marcussen & Søn;.;21;2;Pedal;54.8540289;10.3997103;Rise Kirke, Kirkeballevej, 5970 Ærøskøbing, Denmark
1857;Roskilde Klosterkirke ;Demant & Søn;;4;2;Pedal;55.6416354;12.0867139;Roskilde Klosterkirke, Klosterstien, 4000 Roskilde, Denmark
1961;Rousthøje Kirke ;Frederiksborg Orgelbyggeri;;4;1;(Intet Pedal);55.5766286;8.5903582;Rousthøje Kirke, Kirkevejen, Varde Municipality, Denmark
1889;Rye Kirke;Knud Olsen;Erik Bahn.;5;1;(Intet Pedal);55.6739662;11.8747177;Rye Kirke, Ejbyvej, 4060 Kirke, Denmark
1976;Rødbyhavn Kirke ;Bruno Christensen & Sønner;;11;2;Pedal;54.6666097;11.3617766;Rødbyhavn Kirke, Havnegade, 4970 Rødby, Denmark
1995;Rødhus Kirke ;Gunnar Fabricius Husted;Orgelbyggeriet? [se noter].;6;2;Pedal;57.206765;9.5459195;Rødhus Kirke, Rødhus Kirkevej, Jammerbugt Municipality, Denmark
1893;Rørup Kirke ;Frederik Nielsen;;6;1;(Intet Pedal);55.4133159;10.026222;Rørup Kirke, Gelstedvej, 5560 Aarup, Denmark
1994;Rørvig Kirke ;Jensen & Thomsen;;14;2;Pedal;55.9479083;11.7341643;Rørvig Kirke, Kirkestien, 4581 Rørvig, Denmark
1959;Saltum Kirke ;Jydsk Orgelbyggeri;;7;1;Pedal;57.281998;9.6954969;Saltum Kirke, Saltum Strandvej, 9493 Saltum, Denmark
1994;Sem Kirke ;Jydsk Orgelbyggeri;Ebbe Marxen. [Iflg. medd. fra orgelbyggeriet marts 1994].;6;1;Pedal;56.626576;10.0965273;Sem Kirke, Sem Kirkevej, Mariagerfjord Municipality, Denmark
1968;Koldmose Kirke ;I. Starup & Søn;Rolf Graae [iflg. meddelelse fra kirken, jf. i øvrigt fortegnelsen i Dansk Orgelaarbog 1987-1988-1989, s. 14].;6;1;Pedal;57.1533515;9.5525618;Koldmose Kirke, Koldmose Kirkevej, Jammerbugt Municipality, Denmark
1977;Silkeborg, Alderslyst Kirke ;Th. Frobenius & Sønner;Viggo Hardie-Fischer [Se noter].;21;2;Pedal;56.1817211;9.5535669;Alderslyst Kirke, Tulipanvej, 8600 Silkeborg, Denmark
1906;Simmerbølle Kirke ;Joh.P. Andresen & Co;;6;1;(Intet Pedal);54.9448838;10.7624227;Simmerbølle Kirke, Nordre Landevej, 5900 Rudkøbing, Denmark
1992;Sindbjerg Kirke ;Bruno Christensen & Sønner;Orgelbyggeriet. [Ifølge meddelelse fra orgelbyggeriet 1993].;10;2;Pedal;55.8008662;9.5588926;Sindbjerg Kirke, Riberlundvej, Lindved, Denmark
1985;Sjørring Kirke ;Troels Krohn;;7;1;Pedal;56.9516303;8.5901669;Sjørring Kirke, Næstrupvej, 7700 Thisted, Denmark
1978;Skads Kirke ;P. Bruhn & Søn;Orgelbyggeren.;9;2;Pedal;55.5100051;8.5572664;Skads Kirke, Skads Byvej, Skads, Denmark
1927;Skibby Kirke ;Th. Frobenius & Co;Johannes Tidemand-Dal.;7;1;Pedal;55.7484507;11.9584682;Skibby Kirke, Hovedgaden, 4050 Skibby, Denmark
1975;Skibet Kirke ;Th. Frobenius & Sønner;> Viggo Hardie-Fischer [Danmarks Kirker].;12;2;Pedal;55.7052537;9.4411283;Skibet Kirke, Bredstenvej, Skibet, Denmark
1993;Skjoldborg Kirke ;Bruno Christensen & Sønner;Arkitekterne, Thisted, v/ Ib Lydholm.;10;2;Pedal;56.9087386;8.6104866;Skjoldborg Kirke, Gadesvej, Thisted Municipality, Denmark
1984;Skoven Kirke ;Jensen & Thomsen;;9;1;Pedal;55.9043377;11.9422899;Skoven Kirke, Skovkirkevej, 3630 Jægerspris, Denmark
